feature,xgb_importance,lgb_importance,combined
ask_slope,0.09488707,125,0.8238341968911918
lambda_like,0.07914404,118,0.7227428101505022
rv_300s,0.055391457,142,0.6597566129012429
relative_spread,0.033875816,150,0.5671069933960475
center_of_gravity,0.008758574,193,0.5461526215076447
mean_spread_5s,0.06547594,68,0.5211861569029062
mean_spread_15s,0.06785206,49,0.4844841192732203
bid_slope,0.01805621,148,0.47856547343761807
micro_minus_mid,0.033222128,117,0.47817021299520307
rv_60s,0.027208474,110,0.42834701640000616
bid_depth_decay_5,0.029549008,100,0.4147735396351839
cog_vs_mid,0.007988798,127,0.3711118943834861
imbalance_L1,0.014052218,97,0.32534240305886986
mlofi_sum_5s,0.030070182,60,0.31389288063802867
smart_depth_imbalance,0.011613971,93,0.3021315513226961
ask_depth_decay_5,0.014280737,86,0.2980491565685198
smart_ask_depth,0.017820172,76,0.29079319845518303
mid_velocity,0.049405456,7,0.27847290224361915
spread,0.036286667,20,0.2430232198899274
rv_5s,0.018129786,50,0.2250671689374459
imbalance_L5,0.0070788534,70,0.21864861612801725
mlofi,0.020620478,38,0.20710359668175793
imb_band_0_5bps,0.014140154,47,0.19627209826145764
total_imbalance,0.011916721,49,0.18973723605970028
ofi_sum_5s,0.010710227,51,0.1885610586659587
amihud_like,0.013563712,45,0.1880532313582193
rv_15s,0.0132898465,44,0.18401944737669101
imbalance_L10,0.013375656,36,0.16374621961092084
kyle_lambda,0.0057815197,48,0.15481759734220146
mean_return_60s,0.007422399,43,0.15051071206831562
order_flow_toxicity,0.0048325732,45,0.14204517719118706
bid_concentration,0.006453715,41,0.14022496097523313
log_return,0.017705338,18,0.13992901729332968
ask_concentration,0.0055622165,42,0.13811795593968018
imbalance_L3,0.013491983,24,0.13327111087623655
total_ask_depth,0.013412668,24,0.1328531705576521
tfi_5s,0.0051957257,32,0.11028002410972675
mean_return_5s,0.0095212255,23,0.10975684515089568
mlofi_sum_60s,0.0051342673,30,0.10477482816059663
tfi_60s,0.003168214,33,0.10218688548383317
mlofi_sum_15s,0.0069539133,25,0.10140994214332165
ofi_sum_15s,0.006523253,24,0.09654993720236837
book_pressure,0.010860611,15,0.09608924253771342
vpin,0.0048080506,26,0.09269316011914318
spread_percentile,0.00519645,25,0.09214912564373078
total_bid_depth,0.005139382,23,0.08666706374735411
mean_return_15s,0.004694453,23,0.08432254484743651
imb_band_5_10bps,0.0074543077,16,0.08073067024272959
smart_bid_depth,0.0062800203,18,0.07972420217382475
mid_accel,0.00868054,10,0.07164816344108606
tfi_15s,0.0033882966,18,0.0644864889411883
ofi_sum_60s,0.0034901346,14,0.054660420845518455
imb_band_10_25bps,0.0037193908,13,0.05327779558424505
ofi,0.007364993,5,0.051762622641158225
