symbol,horizon_s,n_samples,corr_raw,corr_zscore,p_value,significant,return_0fee,return_01bps,n_trades,win_rate_0fee
BTC-USD,10,1558318,0.041404893540052085,0.05212410326865797,0.0,True,17.909214817023546,-31.413624959811603,27091,0.3677235982429589
BTC-USD,30,1558318,0.04209750680130352,0.055802628185867995,0.0,True,17.909214817023546,-31.413624959811603,27091,0.3677235982429589
BTC-USD,60,1558318,0.03852363936120902,0.0533681707914868,0.0,True,17.909214817023546,-31.413624959811603,27091,0.3677235982429589
ETH-USD,10,1860802,0.09995383717251138,0.1195940041409481,0.0,True,172.35061457575333,57.75095376511344,27304,0.47227512452387926
ETH-USD,30,1860802,0.09923465375467307,0.12135232804370835,0.0,True,172.35061457575333,57.75095376511344,27304,0.47227512452387926
ETH-USD,60,1860802,0.08935844955429932,0.11189993972089907,0.0,True,172.35061457575333,57.75095376511344,27304,0.47227512452387926
SOL-USD,10,1673585,0.08911097800109495,0.2020152791841421,0.0,True,580.1528513517096,383.27942847550867,17087,0.7203722127933516
SOL-USD,30,1673585,0.06797433488536174,0.1534994190266645,0.0,True,580.1528513517096,383.27942847550867,17087,0.7203722127933516
SOL-USD,60,1673585,0.05413230462126256,0.12123477259079549,0.0,True,580.1528513517096,383.27942847550867,17087,0.7203722127933516
XRP-USD,10,1002677,0.007184346625529686,0.015278355608586378,7.685017488721117e-53,True,196.34252386569676,135.53644899953068,11483,0.7700078376730819
XRP-USD,30,1002677,0.011037148129343177,0.02230349303900272,1.649070624149722e-110,True,196.34252386569676,135.53644899953068,11483,0.7700078376730819
XRP-USD,60,1002677,0.013817009823317296,0.026721762426568967,8.892779331361976e-158,True,196.34252386569676,135.53644899953068,11483,0.7700078376730819
DOGE-USD,10,945122,0.006255401152648527,0.01006490785672874,1.3049833456147021e-22,True,100.42079115993575,67.97332390414117,8831,0.6513418638885743
DOGE-USD,30,945122,0.008776421571292652,0.012808972800288811,1.3461343627190255e-35,True,100.42079115993575,67.97332390414117,8831,0.6513418638885743
DOGE-USD,60,945122,0.010808619371115675,0.014671683453028085,3.658889842870693e-46,True,100.42079115993575,67.97332390414117,8831,0.6513418638885743
LINK-USD,10,988569,0.06747476951817097,0.1084935646073633,0.0,True,119.19067559204186,80.45273534201927,9724,0.6447963800904978
LINK-USD,30,988569,0.045336188172255126,0.068195971777675,0.0,True,119.19067559204186,80.45273534201927,9724,0.6447963800904978
LINK-USD,60,988569,0.035428791533585725,0.049336683576604284,0.0,True,119.19067559204186,80.45273534201927,9724,0.6447963800904978
ADA-USD,10,699234,0.0139271996306051,0.027433693888917754,1.6763094401874262e-116,True,15.97018573800051,5.963444049742761,4512,0.3905141843971631
ADA-USD,30,699234,0.01333574257597796,0.024019968800863628,9.319690046730185e-90,True,15.97018573800051,5.963444049742761,4512,0.3905141843971631
ADA-USD,60,699234,0.015753617364576845,0.024408025266373392,1.2804778637923177e-92,True,15.97018573800051,5.963444049742761,4512,0.3905141843971631
AVAX-USD,10,455691,0.0009932285028801762,0.0018793747467065636,0.20455968878175898,False,8.445920553372588,0.44718271833310563,3831,0.2278778386844166
AVAX-USD,30,455691,0.004353071238048572,0.006129638207257474,3.506014473170105e-05,True,8.445920553372588,0.44718271833310563,3831,0.2278778386844166
AVAX-USD,60,455691,0.004797778044430386,0.008282836453146803,2.2524588413583562e-08,True,8.445920553372588,0.44718271833310563,3831,0.2278778386844166
