,0 bps,0.05 bps,0.1 bps,0.15 bps,0.2 bps,0.3 bps,0.5 bps
AAVE-USD,830587.2536580338,627368.0106640097,473863.6372806053,357912.2182527783,270327.00865611946,154195.28967497003,50128.54130227239
ADA-USD,1203667.9236784219,943944.3525092382,740257.5383375011,580517.4436063612,455242.43763368024,279948.1079955748,105829.11409481971
AVAX-USD,16378.008918915093,15368.829110216742,14421.450961388768,13532.090050990158,12697.193679281207,11177.658105482096,8658.41745128307
BCH-USD,2303.2937835686253,1749.5186247128008,1323.3443647694087,995.3696279018839,742.9675068185933,399.2400384140211,75.10547679678749
BTC-USD,114.0305328431464,51.612296043542784,7.397053958100258,-23.923668361310092,-46.110269839338656,-72.9593793957838,-93.19185241848871
DOGE-USD,1563979.4364598887,1122963.0424416394,806296.7080511964,578918.7632730665,415653.3998891524,214248.27650723478,56874.397097049936
ETH-USD,6927.664952171213,4431.121929276915,2821.4569883229083,1783.6156561544176,1114.4625673560793,404.85301929876147,-12.760097696206643
FARTCOIN-USD,135286.93231160194,118003.62461617745,102926.60963469489,89774.25306145435,78300.87019731346,59561.08836964037,34448.42002320754
HBAR-USD,3857548.335911114,2805814.966167263,2040818.6070312844,1484386.2306868453,1079656.8577728462,571146.4212176926,159785.92755207597
