,importance,stddev,p_value,n,p99_high,p99_low
imbalance_L1,0.028428068623814907,0.0035902711637908875,2.9889651792008886e-05,5,0.03582048657288129,0.021035650674748524
relative_spread,0.019441943816041852,0.004349299659164083,0.00028148981969722557,5,0.028397211927970324,0.01048667570411338
imbalance_L5,0.006321429478769303,0.0038053990841493595,0.010286532794024736,5,0.014156798789237621,-0.0015139398316990167
total_imbalance,0.006134372065193849,0.0020057142657465897,0.0011958483244248726,5,0.010264165460283262,0.0020045786701044363
bid_concentration,0.005268654790160121,0.003302836909506724,0.011719771334468417,5,0.012069241636891825,-0.0015319320565715848
imbalance_L10,0.005173901406983661,0.0036283026542726343,0.016630378922548535,5,0.012644626720603019,-0.002296823906635697
imb_band_5_10bps,0.003227722786247278,0.0032196410598044948,0.04422845857405928,5,0.00985700822855325,-0.0034015626560586947
mlofi,0.003166595052404819,0.0018147820434457394,0.008758186717546395,5,0.006903256362813024,-0.0005700662580033862
ofi,0.003042140678358707,0.0011400133226042307,0.0019809186041780703,5,0.00538944386625941,0.0006948374904580039
hour_cos,0.0029933407987127623,0.004305467397415882,0.09750560399673847,5,0.01185835767787545,-0.005871676080449925
imbalance_L3,0.0023409206466360687,0.0021686535692289305,0.036630750250537046,5,0.006806208319656124,-0.002124367026383987
smart_depth_imbalance,0.002067055055653455,0.002422521381955641,0.06452442901372347,5,0.007055060063903865,-0.0029209499525969553
mlofi_sum_5s,0.002011842955967791,0.003145815492846525,0.1129671353669558,5,0.008489120535529533,-0.004465434623593951
imb_band_25_50bps,0.001715578923183947,0.0030360401033573143,0.13751056233249703,5,0.00796682745853028,-0.004535669612162388
microprice,0.0016168505571959146,0.0040466157345489685,0.21106012897149065,5,0.009948888284805439,-0.00671518717041361
hour_sin,0.0012570545415458768,0.0010371916834434466,0.026766776210815704,5,0.003392646553268446,-0.0008785374701766923
imb_band_50_100bps,0.0006343420670505528,0.0015137284377766452,0.20089322890876127,5,0.0037511298423830693,-0.0024824457082819633
mid_price,0.00045625706087870643,0.0016097887471377928,0.28033335689096406,5,0.0037708343408803966,-0.0028583202191229838
mean_return_15s,0.00021232040765866155,0.003610634184192839,0.45086799880465706,5,0.007646666097179513,-0.00722202528186219
delta_seconds,6.318698646832211e-05,0.000603463691571013,0.4131888415782842,5,0.0013057270681676347,-0.0011793530952309904
hour_of_day,0.0,0.0,0.5,5,0.0,0.0
is_gap_5s,-3.9176283404662724e-06,6.4263114623885154e-06,0.8777401440981862,5,9.314235781655182e-06,-1.714949246258773e-05
is_gap_1s,-1.2490935479592125e-05,5.538575863078748e-05,0.6797163352390676,5,0.00010154910705373525,-0.0001265309780129195
imb_band_10_25bps,-0.00010311861388374588,0.00190079919836767,0.5453511987309154,5,0.003810653207392139,-0.004016890435159631
mean_return_60s,-0.00017332017912889962,0.0037592909350386175,0.5385744253901865,5,0.007567111815038056,-0.007913752173295855
ask_concentration,-0.0009161407630567054,0.002154367087489417,0.8022456050224773,5,0.00351973084660153,-0.005352012372714941
