model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM_BAG_L1_FULL,0.628954994009507,,roc_auc,0.07416033744812012,,1.8781368732452393,0.07416033744812012,,1.8781368732452393,1,True,8
LightGBMXT_BAG_L1_FULL,0.6269148905538461,,roc_auc,1.6489088535308838,,32.95153284072876,1.6489088535308838,,32.95153284072876,1,True,7
WeightedEnsemble_L2_FULL,0.6269148905538461,,roc_auc,1.6509084701538086,,36.96850657463074,0.0019996166229248047,,4.0169737339019775,2,True,9
LightGBM_BAG_L2_FULL,0.6187987003330272,,roc_auc,1.759838342666626,,36.49860239028931,0.03676915168762207,,1.6689326763153076,2,True,11
LightGBMXT_BAG_L2_FULL,0.6111078146028699,,roc_auc,2.385836362838745,,49.05349850654602,0.6627671718597412,,14.223828792572021,2,True,10
WeightedEnsemble_L3_FULL,0.6111078146028699,,roc_auc,2.388838291168213,,55.217246770858765,0.0030019283294677734,,6.163748264312744,3,True,12
LightGBMXT_BAG_L2,,0.9602629650272132,roc_auc,,149.32005047798157,162.02927613258362,,28.309027910232544,49.33350968360901,2,False,4
WeightedEnsemble_L3,,0.9602629650272132,roc_auc,,149.3711335659027,168.19302439689636,,0.05108308792114258,6.163748264312744,3,False,6
LightGBM_BAG_L2,,0.9493354234518283,roc_auc,,121.51213788986206,116.89484763145447,,0.5011153221130371,4.199081182479858,2,False,5
LightGBMXT_BAG_L1,,0.9335745444315491,roc_auc,,120.00320196151733,107.60597944259644,,120.00320196151733,107.60597944259644,1,False,1
WeightedEnsemble_L2,,0.9335745444315491,roc_auc,,120.07979083061218,111.62295317649841,,0.07658886909484863,4.0169737339019775,2,False,3
LightGBM_BAG_L1,,0.7621166809951205,roc_auc,,1.0078206062316895,5.089787006378174,,1.0078206062316895,5.089787006378174,1,False,2
